,duration,batch_size,hidden_size,num_layers,dropout,stride,snrValMetric,c50ValMetric,vadValMetric,ValidationMetric,name,only_vad
170,2,32,128,3,0.0,10,23.711214065551758,8.720660209655762,78.72152675027928,0.19565243988031822,dur_2_bs_32_lstm_hs_128_lstm_nl_3_dropout_0,False
171,10,128,128,3,0.3,10,23.1937198638916,20.081998825073242,83.00133712799203,0.23367224861367922,dur_10_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
172,2,128,256,2,0.5,10,24.821138381958008,16.6051082611084,79.59460648613963,0.23418163610095602,dur_2_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
173,10,32,256,3,0.0,10,22.707687377929688,6.6632399559021,81.68677382568197,0.17244989738636227,dur_10_bs_32_lstm_hs_256_lstm_nl_3_dropout_0,False
174,4,64,128,3,0.3,10,29.524612426757812,18.050853729248047,80.10752683721756,0.25585982152765135,dur_4_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
175,10,32,256,3,0.3,10,24.4510498046875,22.04402732849121,82.02551146859054,0.2506796776878957,dur_10_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
176,4,64,128,3,0.3,10,23.134431838989258,6.856882572174072,80.88639317845039,0.1775372895598413,dur_4_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3,False
177,8,128,128,3,0.5,10,23.18109703063965,7.206353187561035,83.54510081228884,0.17050281408249954,dur_8_bs_128_lstm_hs_128_lstm_nl_3_dropout_0.5,False
178,8,64,256,3,0.3,10,23.082630157470703,6.97519063949585,80.99593890496125,0.17755374860125975,dur_8_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.3,False
179,4,64,128,3,0.0,10,24.887720108032227,17.54989242553711,80.85264983487757,0.23472075057488337,dur_4_bs_64_lstm_hs_128_lstm_nl_3_dropout_0_only_vad,True
180,10,64,128,2,0.5,10,33.150794982910156,23.32697868347168,81.02661428793134,0.2906440488013076,dur_10_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.5_only_vad,True
181,4,64,256,3,0.5,10,25.636686325073242,20.368080139160156,80.79668872819497,0.2509551807293422,dur_4_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
182,8,128,256,2,0.0,10,23.262845993041992,6.8342461585998535,81.3624302634148,0.1762932828101675,dur_8_bs_128_lstm_hs_256_lstm_nl_2_dropout_0,False
183,10,128,256,2,0.0,10,32.94150161743164,29.53769302368164,81.63787912301753,0.3174469668566067,dur_10_bs_128_lstm_hs_256_lstm_nl_2_dropout_0_only_vad,True
184,2,32,256,2,0.3,10,23.30084228515625,21.711612701416016,79.58311692136594,0.25320225019171044,dur_2_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.3_only_vad,True
185,4,32,128,3,0.3,10,27.113906860351562,21.09568977355957,79.11756372999835,0.2652003017878635,dur_4_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.3_only_vad,True
186,8,32,256,2,0.5,10,26.006256103515625,17.86009407043457,80.73591060887651,0.24051171972165866,dur_8_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
187,6,32,128,3,0.3,10,23.17693519592285,6.706269264221191,81.22843673317568,0.17582907273480852,dur_6_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.3,False
188,4,32,256,3,0.5,10,23.10034942626953,20.76243782043457,80.656757632793,0.24440008371926902,dur_4_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
