,duration,batch_size,hidden_size,num_layers,dropout,stride,c50ValMetric,snrValMetric,vadOptiTh,vadValMetric,ValidationMetric,TrainLoss,vadLoss,snrLoss,c50Loss,best_epoch,name,only_vad
62,10,128,256,2,0.5,10,25.191743850708008,24.587724685668945,0.40000006556510925,0.9853824973106384,0.014129092916846275,0.06991013139486313,0.06991013139486313,2.3042619228363037,2.0443155765533447,24.0,dur_10_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5_only_vad,True
63,4,64,128,2,0.0,10,4.9823760986328125,4.6601738929748535,0.45999959111213684,0.9782451391220093,0.046756669878959656,0.3037465512752533,0.10797761380672455,0.10074150562286377,0.09502715617418289,21.0,dur_4_bs_64_lstm_hs_128_lstm_nl_2_dropout_0,False
64,4,32,256,3,0.3,10,22.4881591796875,11.812664031982422,0.45999962091445923,0.9746614098548889,0.022200927138328552,0.12971052527427673,0.12971021234989166,0.5569549798965454,1.1783689260482788,2.0,dur_4_bs_32_lstm_hs_256_lstm_nl_3_dropout_0.3_only_vad,True
65,6,64,128,3,0.3,10,4.10573148727417,4.478460788726807,0.49999988079071045,0.9813529849052429,0.04109935835003853,0.2199004590511322,0.08352165669202805,0.08406735211610794,0.05231158807873726,32.0,dur_6_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.3,False
66,10,32,128,3,0.5,10,21.773517608642578,33.164947509765625,0.39999985694885254,0.9842450618743896,0.014550544321537018,0.07901716977357864,0.07901700586080551,2.456134796142578,1.3680461645126343,22.0,dur_10_bs_32_lstm_hs_128_lstm_nl_3_dropout_0.5_only_vad,True
67,8,64,128,2,0.5,10,4.019083499908447,4.527523040771484,0.4200001358985901,0.9835387468338013,0.040204256772994995,0.22972242534160614,0.0817619040608406,0.09445774555206299,0.0535026453435421,31.0,dur_8_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.5,False
68,10,32,128,2,0.3,10,23.9269962310791,20.5924129486084,0.4400002360343933,0.98480623960495,0.013954480178654194,0.07183714210987091,0.07183723151683807,1.5182770490646362,1.6847038269042969,22.0,dur_10_bs_32_lstm_hs_128_lstm_nl_2_dropout_0.3_only_vad,True
69,4,32,128,2,0.0,10,4.910656452178955,4.8160552978515625,0.45999962091445923,0.9790586829185486,0.04632586985826492,0.287649929523468,0.10795533657073975,0.09646758437156677,0.08322705328464508,23.0,dur_4_bs_32_lstm_hs_128_lstm_nl_2_dropout_0,False
70,6,128,128,3,0.0,10,20.164020538330078,29.721582412719727,0.4200001657009125,0.9823727607727051,0.017116375267505646,0.07414022088050842,0.07414019852876663,2.090118885040283,1.3913044929504395,34.0,dur_6_bs_128_lstm_hs_128_lstm_nl_3_dropout_0_only_vad,True
71,6,64,256,3,0.5,10,17.990747451782227,14.158330917358398,0.4400002658367157,0.9788622856140137,0.019815616309642792,0.09919329732656479,0.09919331222772598,0.6736397743225098,1.0354176759719849,4.0,dur_6_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.5_only_vad,True
72,8,32,256,2,0.0,10,3.9716155529022217,4.635011672973633,0.360000342130661,0.9825889468193054,0.04050073400139809,0.22894376516342163,0.07967845350503922,0.0973680391907692,0.05189729481935501,15.0,dur_8_bs_32_lstm_hs_256_lstm_nl_2_dropout_0,False
73,8,128,256,2,0.5,10,3.9046921730041504,4.414365768432617,0.4400000274181366,0.9837458729743958,0.03927571326494217,0.21301251649856567,0.0780935287475586,0.08837021142244339,0.0465487502515316,28.0,dur_8_bs_128_lstm_hs_256_lstm_nl_2_dropout_0.5,False
74,8,64,128,3,0.5,10,3.8825480937957764,4.474654674530029,0.440000057220459,0.9838308095932007,0.039287831634283066,0.21300779283046722,0.08004475384950638,0.08488054573535919,0.04808260127902031,23.0,dur_8_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5,False
