,duration,batch_size,hidden_size,num_layers,dropout,stride,c50ValMetric,snrValMetric,vadOptiTh,vadValMetric,ValidationMetric,TrainLoss,vadLoss,snrLoss,c50Loss,best_epoch,name
31,4,32,128,2,0.0,10,4.981854438781738,4.406991481781006,0.4400006830692291,0.9787470102310181,0.06671885401010513,0.40999075770378113,0.11092697829008102,0.21032987534999847,0.08873412758111954,10.0,dur_4_bs_32_lstm_hs_128_lstm_nl_2_dropout_0
32,2,128,256,2,0.0,10,6.460280895233154,4.628940582275391,0.4000008702278137,0.9695444107055664,0.07879924029111862,0.6079782247543335,0.17280003428459167,0.23305673897266388,0.2021210789680481,3.0,dur_2_bs_128_lstm_hs_256_lstm_nl_2_dropout_0
33,2,32,256,2,0.5,10,6.452715873718262,4.786798000335693,0.3999977707862854,0.9698106050491333,0.07884859293699265,0.5048592686653137,0.17390736937522888,0.1657639890909195,0.16518652439117432,4.0,dur_2_bs_32_lstm_hs_256_lstm_nl_2_dropout_0.5
34,2,64,256,3,0.3,10,6.229616641998291,4.521978378295898,0.4199987053871155,0.9703752994537354,0.07607081532478333,0.543548583984375,0.17011237144470215,0.20330165326595306,0.1701354682445526,4.0,dur_2_bs_64_lstm_hs_256_lstm_nl_3_dropout_0.3
35,4,128,128,3,0.0,10,4.946109771728516,4.408483028411865,0.39999985694885254,0.9777354001998901,0.06740038096904755,0.47975489497184753,0.11235345155000687,0.25564318895339966,0.11175841838121414,7.0,dur_4_bs_128_lstm_hs_128_lstm_nl_3_dropout_0
36,4,64,128,3,0.5,10,4.962100505828857,4.494831562042236,0.4999997317790985,0.9783031940460205,0.06773886829614639,0.4450382888317108,0.11395005881786346,0.23633882403373718,0.09474950283765793,7.0,dur_4_bs_64_lstm_hs_128_lstm_nl_3_dropout_0.5
37,2,128,128,2,0.5,10,6.616801738739014,4.782894611358643,0.38000041246414185,0.968656599521637,0.08105301856994629,0.6299612522125244,0.17918364703655243,0.2305225282907486,0.2202550172805786,3.0,dur_2_bs_128_lstm_hs_128_lstm_nl_2_dropout_0.5
38,6,32,256,3,0.0,10,4.191277503967285,4.450881004333496,0.400000661611557,0.9816452860832214,0.0625433549284935,0.36304226517677307,0.0843793973326683,0.22263117134571075,0.05603130906820297,14.0,dur_6_bs_32_lstm_hs_256_lstm_nl_3_dropout_0
39,4,128,256,3,0.5,10,4.952076435089111,4.398768901824951,0.42000019550323486,0.9783903956413269,0.0669773519039154,0.4797881841659546,0.11233019083738327,0.26200157403945923,0.1054564118385315,7.0,dur_4_bs_128_lstm_hs_256_lstm_nl_3_dropout_0.5
40,2,64,128,2,0.3,10,6.2617902755737305,4.637032508850098,0.48000073432922363,0.9698595404624939,0.07736054062843323,0.5719348788261414,0.17462225258350372,0.20679031312465668,0.19052238762378693,4.0,dur_2_bs_64_lstm_hs_128_lstm_nl_2_dropout_0.3
